City	Edition	Sport	Discipline		NOC	Gender		Event_gender	Medal
Athens	1896	Fencing	Fencing		FRA	Men		M	Gold
Athens	1896	Fencing	Fencing		FRA	Men		M	Silver
Athens	1896	Fencing	Fencing		GRE	Men		M	Gold
Athens	1896	Fencing	Fencing		FRA	Men		M	Silver
Athens	1896	Fencing	Fencing		DEN	Men		M	Bronze
Athens	1896	Fencing	Fencing		GRE	Men		M	Gold
Athens	1896	Fencing	Fencing		GRE	Men		M	Silver
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Silver
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		SUI	Men		M	Silver
Athens	1896	Gymnastics	Artistic G.		SUI	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Silver
Athens	1896	Gymnastics	Artistic G.		GRE	Men		M	Bronze
Athens	1896	Gymnastics	Artistic G.		GRE	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Silver
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Bronze
Athens	1896	Gymnastics	Artistic G.		GRE	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GRE	Men		M	Silver
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GRE	Men		M	Bronze
Athens	1896	Gymnastics	Artistic G.		GRE	Men		M	Bronze
Athens	1896	Gymnastics	Artistic G.		GRE	Men		M	Bronze
Athens	1896	Gymnastics	Artistic G.		GRE	Men		M	Bronze
